name,keywords
Mentee_1,"Robotics, Cloud Computing, Finance"
Mentee_2,Graphic Design
Mentee_3,"Graphic Design, Machine Learning, Data Science"
Mentee_4,"Machine Learning, Data Science"
Mentee_5,"Robotics, Data Science"
Mentee_6,"Mobile App Development, Education"
Mentee_7,"Machine Learning, Marketing, Graphic Design"
Mentee_8,Biotechnology
Mentee_9,"Artificial Intelligence, Machine Learning"
Mentee_10,"Data Science, Finance, Cybersecurity"
Mentee_11,Graphic Design
Mentee_12,Biotechnology
Mentee_13,Education
Mentee_14,"Machine Learning, Cybersecurity"
Mentee_15,"Data Science, Biotechnology, Healthcare"
Mentee_16,"Healthcare, Marketing"
Mentee_17,Mobile App Development
Mentee_18,Finance
Mentee_19,"Marketing, Cloud Computing"
Mentee_20,Healthcare
Mentee_21,Healthcare
Mentee_22,Biotechnology
Mentee_23,Education
Mentee_24,Artificial Intelligence
Mentee_25,"Artificial Intelligence, Mobile App Development, Graphic Design"
Mentee_26,"Data Science, Machine Learning, Graphic Design"
Mentee_27,"Sustainability, Cloud Computing"
Mentee_28,Healthcare
Mentee_29,Cloud Computing
Mentee_30,"Cybersecurity, Education"
Mentee_31,"Biotechnology, Cloud Computing"
Mentee_32,Robotics
Mentee_33,"Education, Web Development, Biotechnology"
Mentee_34,"Sustainability, Education"
Mentee_35,"Biotechnology, Mobile App Development"
Mentee_36,Graphic Design
Mentee_37,"Robotics, Web Development, Cybersecurity"
Mentee_38,"Graphic Design, Artificial Intelligence"
Mentee_39,"Robotics, Graphic Design, Cybersecurity"
Mentee_40,Mobile App Development
Mentee_41,Cybersecurity
Mentee_42,"Healthcare, Data Science"
Mentee_43,"Web Development, Mobile App Development, Robotics"
Mentee_44,Robotics
Mentee_45,Sustainability
Mentee_46,"Sustainability, Education, Robotics"
Mentee_47,Cloud Computing
Mentee_48,"Machine Learning, Finance"
Mentee_49,Cloud Computing
Mentee_50,Healthcare
Mentee_51,"Machine Learning, Marketing, Biotechnology"
Mentee_52,"Machine Learning, Education, Biotechnology"
Mentee_53,"Biotechnology, Web Development, Machine Learning"
Mentee_54,Web Development
Mentee_55,"Machine Learning, Robotics, Healthcare"
Mentee_56,"Robotics, Marketing, Finance"
Mentee_57,"Biotechnology, Cybersecurity, Sustainability"
Mentee_58,"Education, Sustainability, Biotechnology"
Mentee_59,Machine Learning
Mentee_60,"Sustainability, Healthcare, Cloud Computing"
Mentee_61,Web Development
Mentee_62,Robotics
Mentee_63,"Robotics, Marketing"
Mentee_64,"Healthcare, Sustainability, Finance"
Mentee_65,Cybersecurity
Mentee_66,Mobile App Development
Mentee_67,Sustainability
Mentee_68,"Web Development, Marketing, Mobile App Development"
Mentee_69,"Data Science, Graphic Design"
